2025-01-06 18:31:58,320 - INFO - Loaded 718 documents from /root/rag_project/data/crawled/安徽合肥公共资源交易中心.
2025-01-06 18:31:58,320 - INFO - Text splitter created.
2025-01-06 18:31:58,320 - INFO - 67-2007-01-09-合肥市市直行政事业单位办公用纸实行定点采购暂行规定.txt is empty, skipped.
2025-01-06 18:31:58,320 - INFO - 70-2007-01-09-工程建设项目招标范围和规模标准规定.txt is empty, skipped.
2025-01-06 18:31:58,320 - INFO - 59-2007-01-10-创业投资企业管理暂行办法.txt is empty, skipped.
2025-01-06 18:31:58,321 - INFO - 56-2007-01-10-合肥市工业重组企业挂牌招商操作程序.txt is empty, skipped.
2025-01-06 18:31:58,322 - INFO - 54-2007-01-10-上海市产权交易市场管理办法.txt is empty, skipped.
2025-01-06 18:31:58,323 - INFO - 41-2011-10-20-成都市市属企业国有产权转让程序暂行办法.txt is empty, skipped.
2025-01-06 18:31:58,323 - INFO - 56-2007-01-10-合肥市财政局等四部门关于加强企业国有、集体产权管理有关问题的通知.txt is empty, skipped.
2025-01-06 18:31:58,323 - INFO - 70-2007-01-09-关于印发《政府采购品目分类表》的通知.txt is empty, skipped.
2025-01-06 18:31:58,323 - INFO - 58-2007-01-10-关于明确产权交易统计方法和口径的通知.txt is empty, skipped.
2025-01-06 18:31:58,323 - INFO - 38-2015-07-13-关于进一步加强合肥市公共资源交易诚信行为管理的通知.txt is empty, skipped.
2025-01-06 18:31:58,323 - INFO - 40-2013-12-18-合肥市公共资源交易制度目录.txt is empty, skipped.
2025-01-06 18:31:58,324 - INFO - 37-2016-08-23-合肥市公共资源交易信访举报事项受理和调查处理暂行办法.txt is empty, skipped.
2025-01-06 18:31:58,325 - INFO - 64-2007-01-09-合肥市政府采购中心网上采购管理暂行办法.txt is empty, skipped.
2025-01-06 18:31:58,326 - INFO - 56-2007-01-10-合肥市产权交易工作监督暂行规定.txt is empty, skipped.
2025-01-06 18:31:58,326 - INFO - 71-2007-01-09-中华人民共和国建筑法.txt is empty, skipped.
2025-01-06 18:31:58,326 - INFO - 44-2011-01-10-关于建立合肥招标投标统一市场进一步加强和规范招标投标管理工作的意见.txt is empty, skipped.
2025-01-06 18:31:58,326 - INFO - 64-2007-01-09-合肥市政府采购中心关于采购项目接受监督的若干规定（试行）.txt is empty, skipped.
2025-01-06 18:31:58,326 - INFO - 57-2007-01-10-关于印发《合肥市国有产权进场交易实施细则》的通知.txt is empty, skipped.
2025-01-06 18:31:58,327 - INFO - 70-2007-01-09-财政部关于印发《政府采购运行规程暂行规定》的通知.txt is empty, skipped.
2025-01-06 18:31:58,329 - INFO - 62-2007-01-09-山西省政府采购管理暂行办法.txt is empty, skipped.
2025-01-06 18:31:58,329 - INFO - 71-2007-01-09-国务院办公厅转发财政部关于全面推进政府采购制度改革意见的通知.txt is empty, skipped.
2025-01-06 18:31:58,329 - INFO - 65-2007-01-09-合肥市政府采购中心民主决策程序（试 行）.txt is empty, skipped.
2025-01-06 18:31:58,329 - INFO - 70-2007-01-09-外国政府贷款项目采购公司招标办法.txt is empty, skipped.
2025-01-06 18:31:58,329 - INFO - 60-2007-01-09-中央国家机关政府采购中心评审专家管理暂行办法.txt is empty, skipped.
